country,gender,school_type,math_score,reading_score,science_score,education_father,education_mother,education_parents,family_structure,immigration_status
133197,Germany,Male,High school,722.3166,661.0251,732.693,ISCED 5B,"ISCED 3B, C",ISCED 5B,Both parents,Native
133198,Germany,Male,High school,654.7048,549.5547,614.2671,ISCED 2,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133199,Germany,Female,High school,572.6827,502.8817,553.3756,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133200,Germany,Female,Middle school,481.8585,486.9955,500.5968,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133201,Germany,Female,Middle school,582.0299,576.832,564.8452,"ISCED 3A, ISCED 4",ISCED 5B,ISCED 5B,Both parents,Native
133202,Germany,Male,Middle school,523.298,526.8597,579.2055,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
133203,Germany,Female,Middle school,597.2971,603.0442,561.4883,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133204,Germany,Female,Middle school,443.4569,491.2848,452.9467,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Second-Generation
133205,Germany,Male,Middle school,446.8064,372.806,435.3226,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
133206,Germany,Male,Middle school,695.2095,631.3531,658.0939999999999,ISCED 2,"ISCED 3B, C","ISCED 3B, C",Both parents,Native
133208,Germany,Male,Middle school,476.1723,428.2204,452.2939,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133209,Germany,Female,Middle school,554.6892,565.9499,563.9127,"ISCED 3A, ISCED 4",ISCED 5B,ISCED 5B,Both parents,Native
133210,Germany,Female,Middle school,358.4748,407.5645,386.4603,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133211,Germany,Male,Middle school,481.7028,444.0989,444.461,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
