country,gender,school_type,math_score,reading_score,science_score,education_father,education_mother,education_parents,family_structure,immigration_status
135471,Germany,Female,High school,653.6143,632.672,624.5244,ISCED 2,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135474,Germany,Male,High school,605.1644,582.9156,552.7229,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
135475,Germany,Female,High school,742.5689,722.985,719.3584,ISCED 2,ISCED 5B,ISCED 5B,Both parents,Native
135476,Germany,Male,High school,621.8336,611.0639,553.3756,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Second-Generation
135479,Germany,Male,High school,726.6007,650.3592,670.5893,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",Both parents,Native
135481,Germany,Female,High school,619.4189,612.5759,570.2536,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
135482,Germany,Female,High school,524.3106,537.3547,513.5584,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135483,Germany,Male,High school,600.4128,564.5511,588.5304,"ISCED 5A, 6","ISCED 3B, C","ISCED 5A, 6",Both parents,Native
135484,Germany,Female,High school,595.2718,601.4556,575.8486,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
135486,Germany,Male,High school,645.1239,599.7565,601.865,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Second-Generation
135487,Germany,Male,Middle school,539.1883,504.325,506.7512,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135489,Germany,Male,Middle school,575.9542,561.9849,576.8743,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",Both parents,Native
135490,Germany,Male,Main school,351.6202,334.2324,371.727,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
135492,Germany,Female,Middle school,418.6088,478.0992,457.7956,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135494,Germany,Male,Main school,345.3108,352.8376,415.9269,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135495,Germany,Male,Middle school,608.7475,561.5839,623.5919,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135496,Germany,Male,Middle school,577.1226,514.7503,576.9675,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
135497,Germany,Male,Middle school,599.2444,521.246,601.865,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135501,Germany,Female,Middle school,383.4008,483.8977,457.4226,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135502,Germany,Male,Main school,484.1175,460.5388,495.8411,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
135505,Germany,Male,Vocational school,610.1496,469.9216,507.3107,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135507,Germany,Female,Vocational school,517.9234,546.5687,525.6807,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
135514,Germany,Female,Vocational school,521.1949,471.42699999999996,459.4741,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
135515,Germany,Female,Vocational school,347.8034,384.8472,397.9299,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
135518,Germany,Male,Vocational school,514.4181,472.8888,429.82099999999997,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135520,Germany,Female,Vocational school,424.0614,494.8591,519.9925,ISCED 2,ISCED 5B,ISCED 5B,Both parents,Native
135523,Germany,Male,Middle school,494.0879,510.0188,441.4771,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",Both parents,Second-Generation
135524,Germany,Female,Middle school,504.0583,539.7377,472.5289,ISCED 2,ISCED 5B,ISCED 5B,Both parents,Native
135525,Germany,Male,Middle school,460.5157,426.6165,444.5543,ISCED 2,ISCED 2,ISCED 2,Single father/mother,Second-Generation
135527,Germany,Female,Middle school,395.1628,494.2237,387.3928,ISCED 2,ISCED 2,ISCED 2,Both parents,Second-Generation
135530,Germany,Male,Middle school,533.8137,488.6069,455.7441,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135531,Germany,Female,Middle school,547.0556,558.5628,460.6863,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135532,Germany,Female,Middle school,445.4043,525.2018,403.8978,None,ISCED 2,ISCED 2,Single father/mother,Native
135533,Germany,Female,Middle school,524.077,564.123,575.4756,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135535,Germany,Male,Middle school,477.6523,513.1464,475.9791,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135536,Germany,Female,Middle school,427.8003,486.9955,424.6923,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Single father/mother,Native
135537,Germany,Male,Middle school,634.5303,631.0323,655.3898,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135540,Germany,Female,Middle school,553.2092,618.0566,562.7005,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
135541,Germany,Male,Middle school,557.9607,514.0285,489.0339,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135543,Germany,Female,Middle school,535.2158,554.8296,558.3178,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Single father/mother,Native
135544,Germany,Male,Middle school,488.5574,424.1305,509.5487,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135546,Germany,Male,Middle school,589.9751,518.6798,518.1276,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
135548,Germany,Male,Middle school,484.7406,463.7466,462.2715,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
135550,Germany,Male,Middle school,476.406,473.8511,484.7445,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135553,Germany,Female,Middle school,520.5717,557.2125,529.4107,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135555,Germany,Female,Middle school,446.0274,509.2362,505.2592,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135556,Germany,Female,Middle school,471.4987,495.8123,499.8508,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135558,Germany,Male,Middle school,562.6344,574.415,589.0899,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
135559,Germany,Female,Middle school,427.8003,452.0458,396.7176,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Second-Generation
135560,Germany,Male,Middle school,544.3293,554.9277,539.1085,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
135561,Germany,Male,Middle school,500.3973,431.9896,419.5636,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135562,Germany,Male,Middle school,597.6087,607.8561,659.0265,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
135563,Germany,Male,Middle school,413.8573,412.1815,477.4711,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Single father/mother,Native
135571,Germany,Female,Special school,322.2542,388.5805,286.9638,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135576,Germany,Male,High school,645.1239,583.7176,590.6751,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135577,Germany,Male,High school,642.5534,635.844,622.6595,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Single father/mother,Native
135578,Germany,Female,High school,570.0343,580.8035,598.7878,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
135579,Germany,Female,High school,611.9411,681.6015,637.6725,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135580,Germany,Male,High school,596.1287,538.3275,598.4148,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135581,Germany,Male,High school,591.4551,580.59,582.2827,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Single father/mother,Native
135582,Germany,Male,High school,588.9625,537.5255,628.2544,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
135583,Germany,Female,High school,621.4442,614.1645,618.37,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135584,Germany,Male,High school,543.7841,467.7563,477.1913,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135586,Germany,Female,High school,634.2966,668.9719,622.0067,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135587,Germany,Male,High school,551.8071,560.3008,566.8967,ISCED 2,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135588,Germany,Female,High school,635.1535,587.714,607.9261,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135589,Germany,Female,High school,564.3480000000001,563.567,541.533,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135590,Germany,Female,High school,628.7662,671.2754,656.8818,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135591,Germany,Female,High school,665.5319999999999,683.1106,660.7982,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135592,Germany,Male,High school,634.2966,599.8367,589.7426,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135593,Germany,Male,High school,645.1239,591.0153,618.9295,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135594,Germany,Male,High school,700.6621,586.4442,641.3092,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
135596,Germany,Female,High school,555.4681,588.9849,559.2503,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
135597,Germany,Female,High school,550.1714,595.1011,576.3148,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
135598,Germany,Female,High school,518.3128,542.5178,528.3849,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
135599,Germany,Female,High school,568.9438,605.1888,606.9937,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
135600,Germany,Female,High school,565.4385,608.5249,589.0899,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
135601,Germany,Male,High school,617.0042,593.6617,589.0899,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
135602,Germany,Male,High school,624.5599,579.788,623.9649,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
135603,Germany,Female,High school,565.0491,631.4011,565.9642,ISCED 2,"ISCED 3B, C","ISCED 3B, C",Both parents,Native
135604,Germany,Female,High school,621.1326,646.493,659.2130000000001,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135606,Germany,Male,High school,634.9977,563.6689,604.6624,"ISCED 3B, C",ISCED 5B,ISCED 5B,Both parents,Native
135607,Germany,Male,High school,514.3402,527.6616,502.0888,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
135608,Germany,Male,High school,563.3354,574.1744,571.1861,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Second-Generation
135610,Germany,Female,High school,600.4128,609.3987,607.1802,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135611,Germany,Female,High school,494.8668,542.1206,457.6091,ISCED 2,"ISCED 3B, C","ISCED 3B, C",Both parents,Native
135612,Germany,Male,High school,529.0622,557.3336,563.9127,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
135613,Germany,Female,High school,522.5191,587.158,547.5009,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135614,Germany,Male,High school,600.7244,557.2534,572.0254,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135615,Germany,Female,High school,557.1818,591.9238,568.8549,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135616,Germany,Male,High school,676.3592,618.5219999999999,641.3092,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",Both parents,Native
135617,Germany,Male,High school,644.6565,603.7662,627.4151,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
135618,Germany,Female,High school,692.0938,689.068,669.2838,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
135619,Germany,Female,High school,649.3301,637.9144,605.9679,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135620,Germany,Male,High school,583.6657,568.8014,582.5625,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135621,Germany,Male,High school,597.7644,583.6374,639.351,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
135622,Germany,Male,High school,531.7105,529.9872,501.5293,ISCED 5B,"ISCED 3B, C",ISCED 5B,Both parents,Native
135624,Germany,Female,Middle school,608.2022,672.1492,665.9269,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135625,Germany,Male,Middle school,605.5538,618.0408,642.4282,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Single father/mother,Native
135629,Germany,Female,Middle school,561.2323,615.9914,577.9,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135630,Germany,Male,Middle school,637.1008,570.8864,611.4696,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Single father/mother,Native
135633,Germany,Male,Middle school,587.5604,538.0869,570.1604,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135636,Germany,Female,Middle school,534.9821,562.5344,555.8933,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135637,Germany,Female,Middle school,494.7889,562.4549,477.8441,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135639,Germany,Male,Middle school,508.8877,491.5741,517.5681,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Single father/mother,Native
135640,Germany,Female,Middle school,486.9995,499.7839,438.0269,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135643,Germany,Male,Integrated school,529.2958,518.2788,492.1112,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Single father/mother,Native
135645,Germany,Male,Middle school,459.8146,433.2727,466.0015,ISCED 2,ISCED 2,ISCED 2,Both parents,Second-Generation
135648,Germany,Male,High school,725.4323,684.0409,743.6031,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135649,Germany,Female,High school,649.1743,654.4361,741.2719,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
135650,Germany,Male,High school,642.7869999999999,559.6592,634.5021,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Single father/mother,Native
135651,Germany,Female,High school,602.2823,589.5409,602.8907,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
135652,Germany,Male,High school,593.8698,541.1343,602.0515,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
135655,Germany,Female,High school,668.5699,658.6459,697.5382,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135656,Germany,Male,High school,642.8649,637.5281,687.6539,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
135657,Germany,Female,High school,536.8515,547.363,530.0634,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Single father/mother,Native
135658,Germany,Female,High school,533.5021,590.2558,578.8325,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135659,Germany,Female,High school,594.6487,598.9138,616.9713,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135661,Germany,Female,High school,648.2396,625.2849,663.6889,ISCED 5B,"ISCED 3B, C",ISCED 5B,Both parents,Native
135662,Germany,Male,High school,746.5415,674.9789,733.812,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135663,Germany,Male,High school,623.781,627.1028,641.6822,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135664,Germany,Female,High school,533.0347,546.0922,576.9675,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135665,Germany,Female,High school,671.9193,685.573,731.8538,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
135666,Germany,Female,High school,539.4999,548.9517,536.9638,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Second-Generation
135667,Germany,Male,High school,612.4085,579.7078,651.2868,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135668,Germany,Male,High school,646.9933,563.6689,688.0269,"ISCED 3B, C","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135669,Germany,Female,High school,579.9268,589.7792,601.2122,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
135671,Germany,Male,High school,522.0517,480.3468,486.3297,ISCED 2,ISCED 5B,ISCED 5B,Both parents,Native
135672,Germany,Male,High school,613.1874,501.1172,595.3376,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
135673,Germany,Male,High school,543.0051,510.2594,580.6975,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
135674,Germany,Female,High school,556.8702,569.6037,557.3853,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
135675,Germany,Female,High school,671.0625,615.1971,630.1194,ISCED 5B,"ISCED 3B, C",ISCED 5B,Both parents,Native
135676,Germany,Female,High school,596.9076,576.0376,594.4051,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135679,Germany,Female,High school,611.7853,623.4580000000001,644.2932,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135680,Germany,Female,High school,612.4085,594.3068,607.5532,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
135681,Germany,Male,High school,595.194,511.8633,562.0477,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
135682,Germany,Female,High school,513.9508,542.6766,522.3238,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135683,Germany,Male,High school,539.2662,474.9738,506.0985,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135685,Germany,Male,High school,477.6523,457.8924,481.8538,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135686,Germany,Male,High school,567.3859,503.3627,524.9347,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135687,Germany,Male,High school,525.1675,421.0029,420.3096,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135689,Germany,Female,High school,546.8998,596.928,554.5878,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135690,Germany,Female,High school,643.566,597.484,604.7557,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135691,Germany,Female,High school,632.9724,668.8925,620.8877,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
135692,Germany,Male,High school,598.5434,539.5304,651.4733,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
135694,Germany,Female,High school,519.0139,508.5213,540.8803,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135696,Germany,Male,High school,657.5869,584.5195,623.3122,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135697,Germany,Male,High school,619.5747,570.0043,653.3383,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
135698,Germany,Female,High school,565.4385,562.4549,561.1153,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135700,Germany,Male,High school,646.6038,592.8597,674.8788,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135701,Germany,Female,High school,599.2444,619.7247,654.0843,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
135702,Germany,Male,High school,581.251,503.5231,539.3883,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
135703,Germany,Male,High school,685.8623,588.0481,647.8366,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
135704,Germany,Female,High school,369.4579,455.3025,433.6442,ISCED 2,ISCED 2,ISCED 2,Both parents,Second-Generation
135705,Germany,Male,High school,674.1782,602.4831,663.6889,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Second-Generation
135706,Germany,Female,High school,599.2444,623.6962,613.9873,None,"ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
135707,Germany,Female,High school,577.3563,614.9588,568.3887,"ISCED 5A, 6","ISCED 3B, C","ISCED 5A, 6",Both parents,Native
135708,Germany,Female,High school,643.2544,622.9019,652.8721,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
135709,Germany,Male,High school,550.405,560.4612,569.6009,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135710,Germany,Female,High school,659.1447,637.1201,618.6498,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135711,Germany,Male,High school,675.814,604.5681,667.5121,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135712,Germany,Female,High school,600.6465,579.4532,655.2965,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135713,Germany,Male,High school,620.2757,596.8695,651.5666,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
135714,Germany,Female,High school,621.7557,593.5125,593.7523,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135715,Germany,Female,High school,586.0804,605.2683,578.7393,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",Both parents,Native
135716,Germany,Male,High school,491.1279,439.6882,525.6807,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135717,Germany,Male,Middle school,534.7484,484.5972,496.7736,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
135718,Germany,Male,Middle school,573.4616,522.048,562.9802,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
135720,Germany,Male,Middle school,431.2276,417.7149,461.4323,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Single father/mother,Native
135721,Germany,Female,Middle school,546.4325,607.254,574.1701,"ISCED 3B, C",ISCED 5B,ISCED 5B,Both parents,Native
135723,Germany,Male,Middle school,611.7074,557.3336,577.6203,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
135725,Germany,Female,Middle school,499.151,501.3725,535.3786,ISCED 2,ISCED 5B,ISCED 5B,Both parents,Native
135726,Germany,Male,Middle school,549.0809,525.9775,520.0858,None,ISCED 5B,ISCED 5B,Both parents,Second-Generation
135729,Germany,Male,Middle school,468.3829,472.3274,426.5573,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
135734,Germany,Female,Middle school,511.9255,522.8189,535.9381,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135735,Germany,Female,Middle school,553.365,509.8716,543.5845,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
135736,Germany,Male,Middle school,534.5926,468.3177,524.4685,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
135737,Germany,Female,Middle school,479.2102,510.1099,500.31699999999995,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
135740,Germany,Male,Middle school,574.9416,545.545,574.1701,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135743,Germany,Female,Middle school,553.9882,588.6672,535.6583,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135745,Germany,Male,Middle school,472.1997,392.9348,466.934,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135750,Germany,Female,Middle school,423.6719,442.5141,448.2842,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135752,Germany,Female,Middle school,354.7359,412.2509,388.5117,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
135753,Germany,Male,Middle school,293.9788,327.0149,347.4823,"ISCED 3A, ISCED 4",ISCED 5B,ISCED 5B,Both parents,Native
135755,Germany,Female,Middle school,459.1136,510.6659,502.555,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135758,Germany,Male,Middle school,455.842,475.455,516.0761,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
135760,Germany,Female,Middle school,454.3621,504.5497,475.9791,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
135761,Germany,Female,Middle school,563.4133,567.3002,559.53,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135765,Germany,Female,Middle school,484.5848,518.2913,493.9761,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135767,Germany,Female,Integrated school,486.2985,568.0945,504.5132,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
135769,Germany,Male,Integrated school,480.9238,492.1354,499.7576,"ISCED 3A, ISCED 4",ISCED 5B,ISCED 5B,Both parents,Native
135770,Germany,Male,Integrated school,508.1866,472.167,492.9504,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
135771,Germany,Male,Integrated school,596.2845,518.2788,555.5203,ISCED 2,ISCED 2,ISCED 2,Single father/mother,Native
135772,Germany,Female,Integrated school,498.6836,485.4863,493.7896,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135775,Germany,Female,Integrated school,421.5688,462.4513,452.9467,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
135776,Germany,Male,Integrated school,511.1466,493.8997,460.1268,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
135778,Germany,Female,Integrated school,516.9107,521.1508,508.0567,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
135781,Germany,Female,Integrated school,454.8294,565.6322,452.9467,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
135782,Germany,Female,Integrated school,592.935,613.3702,552.7229,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
135783,Germany,Female,Integrated school,545.1862,583.9013,535.9381,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",Both parents,Native
135785,Germany,Female,Integrated school,510.3677,578.3411,484.3715,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
